id;list_tabula;list_correct;total_tables;pos;false_neg;false_pos
693217;['3', '8', '9', '11', '13', '14'];['3', '8', '9', '11'];6;4;0;2
693211;['3', '6', '8', '10', '11', '16'];['3', '6', '8', '9', '10'];6;4;1;2
693210;['3', '6', '7', '9', '10', '11', '14'];['3', '6', '9', '10', '11'];7;5;0;2
693209;['4', '9', '11', '13', '18', '19', '24', '25'];['3', '9', '11', '12', '13', '18', '19', '20', '21', '22', '23', '24', '25'];8;7;6;1
693208;['3', '7', '8', '9', '11', '12', '15'];['3', '7', '9', '11', '12', '15'];7;6;0;1
693155;['3', '5', '6', '7', '8', '9', '10'];['5', '6', '7', '8', '9', '10', '12'];7;6;1;1
693140;['4', '6'];['4', '5', '6'];2;2;1;0
693130;['2', '3', '4', '5', '6', '7', '9', '10', '11', '12', '13', '14', '15', '16'];['2', '3', '4', '5', '6', '7', '9', '10', '11', '12', '13', '14', '15', '16', '17'];14;14;1;0
693129;['2', '4', '5', '6', '9'];['2', '4', '5', '6', '9', '10'];5;5;1;0
693128;['3', '7', '9', '10', '11'];['3', '7', '9', '10', '11', '12'];5;5;1;0
693113;['9', '12'];['9', '10', '12'];2;2;1;0
693111;['6', '9'];['9'];2;1;0;1
693104;['5', '6', '7', '8', '9', '13'];['6', '8', '9', '13'];6;4;0;2
693101;['2', '3', '5', '6', '7', '8'];['2', '3', '5', '6', '7', '8'];6;6;0;0
693099;['4', '5', '6', '8', '9', '10', '11', '12', '15', '17', '18', '19'];['4', '5', '6', '13', '15', '17', '19'];12;6;1;6
693098;['2', '3', '4', '6'];['3', '4', '6'];4;3;0;1
693094;['2', '3', '5', '6', '8', '11'];['3', '5', '6', '7', '8', '9', '10'];6;4;3;2
693091;['5', '6', '7', '8', '9', '10', '11', '12', '16', '17', '18', '19', '21'];['5', '8', '9', '10', '11', '16', '17', '18', '19', '21'];13;10;0;3
693089;['4', '7', '10', '11', '12', '13'];['10', '12', '13'];6;3;0;3
693083;['3', '6'];['5', '6'];2;1;1;1
693044;['1', '2', '3', '4', '5', '8', '11'];['1', '2', '3', '5', '8', '11'];7;6;0;1
693043;['5', '6', '8', '9', '10', '11', '12', '13', '15', '16', '17', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30'];['5', '6', '8', '12', '13', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30'];23;15;0;8
693040;['2', '4', '7', '8', '9', '17', '19', '20'];['2', '4', '5', '6', '9', '17', '19', '20'];8;6;2;2
693036;['3', '5', '8', '9', '10', '11'];['3', '5', '6', '7', '8', '9', '10', '11'];6;6;2;0
693033;['13', '14', '15'];['13', '14'];3;2;0;1
693032;['1', '3', '4', '7', '9', '10'];['1', '2', '3', '5', '7', '9'];6;4;2;2
693031;['3', '5', '6', '7', '10', '11', '12', '13', '14'];['3', '5', '6', '7', '10', '11', '12', '13', '14'];9;9;0;0
693028;['2', '3', '4', '6', '11', '15'];['6', '11'];6;2;0;4
693011;['4', '5', '7'];['4', '7'];3;2;0;1
692897;['2', '4', '7'];['4', '5', '7'];3;2;1;1
692314;['3', '4', '5', '6', '7', '11', '13', '14'];['3', '4', '5', '6', '7'];8;5;0;3
692290;['1', '5', '6', '7'];['1', '5', '6', '7', '8'];4;4;1;0
692288;['1', '5', '6', '7'];['1', '5', '6', '7', '8'];4;4;1;0
692274;['3', '6', '7', '9', '10', '11', '12'];['5', '7', '10', '11', '12'];7;4;1;3
691820;['2', '3', '4', '9', '12', '16', '17'];['2', '9', '12', '16'];7;4;0;3
691678;['5', '8', '9', '11', '12', '16', '19', '23'];['5', '8', '9', '12', '14'];8;4;1;4
691676;['3', '4', '5', '6', '8', '9', '10', '12', '13', '14', '15'];['3', '4', '5', '6', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17'];11;11;3;0
691675;['7', '11', '13', '14'];['11', '12', '13', '14'];4;3;1;1
691659;['2', '5', '6', '7', '8', '10'];['5', '6', '7', '8', '10'];6;5;0;1
